@relation sms_spam

@attribute id NUMERIC
@attribute text string
@attribute class {ham,spam}

@data
33,'If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.',ham	
34,'Ü wait 4 me in sch i finish ard 5..',ham	
35,'fyi Im at usf now, swing by the room whenever',ham	
36,'Yup im elaborating on the safety aspects and some other issues..',ham	
37,'Havent left yet so probably gonna be here til dinner',ham	
38,'That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? ',ham	
39,'	URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins',spam
40,'Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... Ill go yan jiu den msg u...',ham	
41,'Just send a text. Well skype later.',ham	
42,'"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"',ham	
43,'Bring tat cd don forget',ham	
44,'Hey now am free you can call me.',ham	
45,'I am late. I will be there at',ham	
46,'I‘ll leave around four, ok?',ham	
47,'Oh k.k..where did you take test?',ham	
48,'Send me your resume:-)',ham	
49,'Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)',ham	
50,'	URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only',spam
51,'How have your little darlings been so far this week? Need a coffee run tomo?Cant believe its that time of week already …',ham	
52,'My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..',ham	
53,'	Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply',spam
54,'Shes good. How are you. Where r u working now',ham	
55,'Come around  &lt;DECIMAL&gt; pm vikky..im otside nw, il come by tht time',ham	
56,'You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged',ham	
57,'Ok ok take care. I can understand.',ham	
58,'I AM AT A PARTY WITH ALEX NICHOLS',ham	
59,'Where are you ? What are you doing ? Are yuou working on getting the pc to your moms ? Did you find a spot that it would work ? I need you',ham	
60,'Kallis wont bat in 2nd innings.',ham	
61,'I need details about that online job.',ham	
62,'On the way to office da..',ham	
63,'	Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg',spam
64,'Call me when u finish then i come n pick u.',ham	
65,'K k pa Had your lunch aha.',ham	
66,'	complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+',spam
67,'For The First Time In The History Need Comfort And Luxury Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;',ham	
68,'Text me when you get off, dont call, my phones having problems',ham	
69,'	Ur balance is now £500. Ur next question is: Who sang Uptown Girl in the 80s ? 2 answer txt ur ANSWER to 83600. Good luck!',spam
70,'Lol wtf random. Btw is that your lunch break',ham	
71,'Alright well bring it to you, see you in like  &lt;#&gt;  mins',ham	
72,'Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens',ham	
73,'	<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches',spam
74,'Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down',ham	
75,'Awesome question with a cute answer: Someone asked a boy "how is ur life?" . . He smiled &amp; answered: . . "She is fine!" Gudnite',ham	
76,'You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.',ham	
77,'Try to do something dear. You read something for exams',ham	
78,'"Gimme a few" was  &lt;#&gt;  minutes ago',ham	
79,'Otherwise had part time job na-tuition..',ham	
80,'Y lei?',ham	
81,'Call me. I m unable to cal. Lets meet bhaskar, and deep',ham	
82,'I liked the new mobile',ham	
83,'"NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?"',ham	
84,'What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; dont worry.',ham	
85,'Juz go google n search 4 qet...',ham	
86,'My darling sister. How are you doing. Whens school resuming. Is there a minimum wait period before you reapply? Do take care',ham	
87,'Please tell me not all of my car keys are in your purse',ham	
88,'Watching tv now. I got new job :)',ham	
89,'Yup ü not comin :-(',ham	
90,'Ill get there at 3, unless you guys want me to come some time sooner',ham	
91,'Sat right? Okay thanks... ',ham	
92,'	Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50',spam
93,'Ü mean its confirmed... I tot they juz say oni... Ok then... ',ham	
94,'Thnx dude. u guys out 2nite?',ham	
95,'Eek thats a lot of time especially since American Pie is like 8 minutes long. I cant stop singing it.',ham	
96,'	Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.',spam
97,'Watching tv lor. Nice one then i like lor.',ham	
98,'Oh, yes, Ive just been a little under the weather so ive kind of been coccooning at home',ham	
99,'Ok thats great thanx a lot.',ham	
100,'	SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL',spam
101,'Are you not around or just still asleep? :V',ham	
102,'I emailed yifeng my part oredi.. Can ü get it fr him..',ham	
103,'Oh is it! Which brand?',ham	
104,'"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"',ham	
105,'I absolutely LOVE South Park! I only recently started watching the office.',ham	
106,'There are no other charges after transfer charges and you can withdraw anyhow you like',ham	
107,'Yes.. now only saw your message..',ham	
108,'Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.',ham	
109,'Right it wasnt you who phoned it was someone with a number like yours!',ham	
110,'	January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)',spam
111,'Dunno lei he neva say...',ham	
112,'Sorry, Ill call later In meeting.',ham	
113,'Yetunde, im sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.',ham	
114,'I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cannt get my voice. So call you asa ill free',ham	
115,'S but not able to sleep.',ham	
116,'	Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16',spam
117,'Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!',ham	
118,'Stupid.its not possible',ham	
119,'Ü bot notes oredi... Cos i juz rem i got...',ham	
120,'GOD ASKED, "What is forgiveness?" A little child gave lovely reply, "It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......',ham	
121,'K:)i will give my kvb acc details:)',ham	
122,'No but the bluray player can',ham	
123,'Am not interested to do like that.',ham	
124,'Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*',ham	
125,'	You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3',spam
126,'Enjoy urself tmr...',ham	
127,'Havent heard anything and hes not answering my texts so Im guessing he flaked. That said the jb is fantastic',ham	
128,'... Are you in the pub?',ham	
129,'No message..no responce..what happend?',ham	
130,'R ü going 4 todays meeting?',ham	
131,'Hey. You got any mail?',ham	
132,'Or u ask they all if next sat can a not. If all of them can make it then im ok lor.',ham	
133,'	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18',spam
134,'Sorry, Ill call later in meeting',ham	
135,'This single single answers are we fighting? Plus i said am broke and you didnt reply',ham	
136,'Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu',ham	
137,'Please da call me any mistake from my side sorry da. Pls da goto doctor.',ham	
138,'Yes ammae....life takes lot of turns you can only sit and try to hold the steering...',ham	
139,'Wherres my boytoy ? :-(',ham	
140,'Oh god i am happy to see your message after 3 days',ham	
141,'Hi. Im always online on yahoo and would like to chat with you someday',ham	
142,'Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.',ham	
143,'Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.',ham	
144,'Ü all write or wat..',ham	
145,'I dont know why she.s not getting your messages',ham	
146,'Ho ho - big belly laugh! See ya tomo',ham	
147,'Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.',ham	
148,'No calls..messages..missed calls',ham	
149,'K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)',ham	
150,'do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................',ham	
151,'Gibbs unsold.mike hussey',ham	
152,'Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?',ham	
153,'Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Whos It? Reply With Reason, If U r Brilliant.',ham	
154,'I dont think I can get away for a trek that long with family in town, sorry',ham	
155,'Hey are you angry with me. Reply me dr.',ham	
156,'Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?',ham	
157,'Jus finish blowing my hair. U finish dinner already?',ham	
158,'Already am squatting is the new way of walking',ham	
159,'Dai  &lt;#&gt;  naal eruku.',ham	
160,'I am on the way to ur home',ham	
161,'how are you? I miss you!',ham	
162,'It could work, well reach a consensus at the next meeting',ham	
163,'Me fine..absolutly fine',ham	
164,'Hi dear we saw dear. We both are happy. Where you my battery is low',ham	
165,'How are you. Wish you a great semester',ham	
166,'Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(',ham	
167,'I send the print  outs da.',ham	
168,'It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.',ham	
169,'Thats cool! I am a gentleman and will treat you with dignity and respect.',ham	
170,'8 at the latest, gs still there if you can scrounge up some ammo and want to give the new ak a try',ham	
171,'Jordan got voted out last nite!',ham	
172,'Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?',ham	
173,'I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.',ham	
174,'Im okay. Chasing the dream. Whats good. What are you doing next.',ham	
175,'But i juz remembered i gotta bathe my dog today..',ham	
176,'Just forced myself to eat a slice. Im really not hungry tho. This sucks. Mark is getting worried. He knows Im sick when I turn down pizza. Lol',ham	
177,'Alright. Im out--have a good night!',ham	
178,'Ok... Thanx... Gd nite 2 ü too...',ham	
179,'	URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU',spam
180,'Short But Cute: "Be a good person, but dont try to prove it.." .Gud noon....',ham	
181,'No probs hon! How u doinat the mo?',ham	
182,'Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!',ham	
183,'He says hell give me a call when his friends got the money but that hes definitely buying before the end of the week',ham	
184,'Thanks honey but still havent heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!',ham	
185,'I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cannt listen me.',ham	
186,'As I entered my cabin my PA said,  Happy Bday Boss !!. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.',ham	
187,'how tall are you princess?',ham	
188,'	FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply',spam
189,'Not sure I have the stomach for it ...',ham	
190,'	GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uks fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd',spam
191,'Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ',ham	
192,'Nationwide auto centre (or something like that) on Newport road. I liked them there',ham	
193,'Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .',ham	
194,'Ok then ill let him noe later n ask him call u tmr...',ham	
195,'	Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR',spam
196,'Yeah we do totes. When u wanna?',ham	
197,'Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4o clock so call me plz',ham	
198,'If u sending her home first its ok lor. Im not ready yet.',ham	
199,'Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.',ham	
200,'Thats cool. How was your day?',ham	
201,'Please sen :)my kind advice :-)please come here and try:-)',ham	
202,'My painful personal thought- "I always try to keep everybody happy all the time. But nobody recognises me when i am alone"',ham	
203,'Where r e meeting tmr?',ham	
204,'K:)all the best:)congrats...',ham	
205,'	Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!',spam
206,'"Thinking of u ;) x"',ham	
207,'Erm … ill pick you up at about 6.45pm. Thatll give enough time to get there, park and that.',ham	
208,'LMAO wheres your fish memory when I need it?',ham	
209,'Ok i thk i got it. Then u wan me 2 come now or wat?',ham	
210,'	Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply',spam
211,'Great. Never been better. Each day gives even more reasons to thank God',ham	
212,'Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.',ham	
213,'U attend ur driving lesson how many times a wk n which day?',ham	
214,'	18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.',spam
215,'Oh ho. Is this the first time u use these type of words',ham	
216,'How come i din c ü... Yup i cut my hair...',ham	
217,'Were somewhere on Fredericksburg',ham	
218,'Fine if thats the way u feel. Thats the way its gota b',ham	
219,'Have you got Xmas radio times. If not i will get it now',ham	
220,'Anyway holla at me whenever youre around because I need an excuse to go creep on people in sarasota',ham	
221,'yeah, thats what I was thinking',ham	
222,'Okey doke. Im at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. ',ham	
223,'Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho',ham	
224,'o turns out i had stereo love on mi phone under the unknown album.',ham	
225,'	You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE',spam
226,'Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/',ham	
227,'Hey morning what you come to ask:-) pa...',ham	
228,'HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.',ham	
229,'Yeah. I got a list with only u and Joanna if Im feeling really anti social',ham	
230,'OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx',ham	
231,'Vikky, come around  &lt;TIME&gt; ..',ham	
232,'	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906',spam
233,'U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...',ham	
234,'Then any special there?',ham	
235,'Its ok i noe ure busy but im really too bored so i msg u. I oso dunno wat colour she choose 4 me one.',ham	
236,'Jus finish watching tv... U?',ham	
237,'Superb Thought- "Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.":-)',ham	
238,'	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate',spam
239,'Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!',ham	
240,'They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..  ',ham	
241,'	thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???',spam
242,'	URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm',spam
243,'Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.',ham	
244,'Aight, Im chillin in a friends room so text me when youre on the way',ham	
245,'Hmm...my uncle just informed me that hes paying the school directly. So pls buy food.',ham	
246,'That means you got an A in epi, she.s fine. She.s here now.',ham	
247,'	Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE',spam
248,'Wake me up at  &lt;#&gt;  am morning:)',ham	
249,'	FreeMsg Hey there darling its been 3 weeks now and no word back! Id like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv',spam
250,'Both :) i shoot big loads so get ready!',ham	
251,'We are hoping to get away by 7, from Langport. You still up for town tonight?',ham	
252,'A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol',ham	
253,'Jesus armand really is trying to tell everybody he can find',ham	
254,'Yar but they say got some error.',ham	
255,'Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams',ham	
256,'Nobody names their penis a girls name this story doesnt add up at all',ham	
257,'Networking job is there.',ham	
258,'Ok',ham	
259,'4 tacos + 1 rajas burrito, right?',ham	
260,'Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(',ham	
261,'Jus came back fr lunch wif my sis only. U leh?',ham	
262,'Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL',ham	
263,'I dont know oh. Hopefully this month.',ham	
264,'You unbelievable faglord',ham	
265,'Am only searching for good dual sim mobile pa.',ham	
266,'Lol you wont feel bad when I use her money to take you out to a steak dinner =D',ham	
267,'Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea',ham	
268,'What you doing?how are you?',ham	
269,'Ok lor wat time ü finish?',ham	
270,'I want to show you the world, princess :) how about europe?',ham	
271,'Are you free now?can i call now?',ham	
272,'All day working day:)except saturday and sunday..',ham	
273,'	Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+',spam
274,'Alex knows a guy who sells mids but hes down in south tampa and I dont think I could set it up before like 8',ham	
275,'Fine. Do you remember me.',ham	
276,'	4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt',spam
277,'I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA',ham	
278,'I not free today i haf 2 pick my parents up tonite...',ham	
279,'sorry, no, have got few things to do. may be in pub later.',ham	
280,'Sen told that he is going to join his uncle finance in cbe',ham	
281,'Sorry,in meeting Ill call later',ham	
282,'	Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.',spam
283,'Sorry me going home first... Daddy come fetch ü later...',ham	
284,'Have you started in skye',ham	
285,'Gudnite....tc...practice going on',ham	
286,'Im coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now',ham	
287,'U wan 2 haf lunch im in da canteen now.',ham	
288,'Thank You meet you monday',ham	
289,'Hi! You just spoke to MANEESHA V. Wed like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.',ham	
290,'	Do you realize that in about 40 years, well have thousands of old ladies running around with tattoos?',spam
291,'Im not. She lip synced with shangela.',ham	
292,'	Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16',spam
293,'&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.',ham	
294,'When did you get to the library',ham	
295,'Thanks for sending this mental ability question..',ham	
296,'Ok...',ham	
297,'Aiyah u did ok already lar. E nydc at wheellock?',ham	
298,'So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ',ham	
299,'	Hi Im sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - Im i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+',spam
300,'Hi. Hope you had a good day. Have a better night.',ham	
301,'Tell my  bad character which u Dnt lik in me. Ill try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.',ham	
302,'Yeah sure, give me a couple minutes to track down my wallet',ham	
303,'Yes:)sura in sun tv.:)lol.',ham	
304,'Theyre doing it to lots of places. Only hospitals and medical places are safe.',ham	
305,'Lol ok your forgiven :)',ham	
306,'I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones',ham	
307,'Are you still playing with gautham?',ham	
308,'Are you staying in town ?',ham	
309,'My sort code is  and acc no is . The bank is natwest. Can you reply to confirm ive sent this to the right person!',ham	
310,'What happened to our yo date?',ham	
311,'HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN',ham	
312,'"EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX."',ham	
313,'Nah dub but je still buff',ham	
314,'alright tylers got a minor crisis and has to be home sooner than he thought so be here asap',ham	
315,'Good evening! this is roger. How are you?',ham	
316,'have got * few things to do. may be in * pub later.',ham	
317,'"GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI"',ham	
318,'V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy "VALENTINES DAY" in advance',ham	
319,'R u sure theyll understand that! Wine * good idea just had a slurp!',ham	
320,'Dunno lei shd b driving lor cos i go sch 1 hr oni.',ham	
321,'Went fast asleep dear.take care.',ham	
322,'I to am looking forward to all the sex cuddling.. Only two more sleeps ',ham	
323,'K, wait chikku..il send aftr  &lt;#&gt; mins',ham	
324,'Ok...',ham	
325,'Or just do that 6times',ham	
326,'Oh... Icic... K lor, den meet other day...',ham	
