@relation sms_spam

@attribute id NUMERIC
@attribute text string
@attribute class {ham,spam}

@data
94,'No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know were hardcore',ham	
95,'Minimum walk is 3miles a day.',ham	
96,'Beauty sleep can help ur pimples too.',ham	
97,'Ill text now! All creepy like so he wont think that we forgot',ham	
98,'He will, you guys close?',ham	
99,'ALSO TELL HIM I SAID HAPPY BIRTHDAY',ham	
100,'Lol, oh you got a friend for the dog ?',ham	
101,'	Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2',spam
102,'"SYMPTOMS" when U are in love: "1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U wont get angry when your',ham	
103,'Oh k k:)but he is not a big hitter.anyway good',ham	
104,'Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil',ham	
105,'This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age',ham	
106,'	+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50',spam
107,'	You have 1 new voicemail. Please call 08719181513.',spam
108,'HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...',ham	
109,'Thanks for loving me so. You rock',ham	
110,'Im at home n ready...',ham	
111,'Aight well keep me informed',ham	
112,'not that I know of, most people up here are still out of town',ham	
113,'Maybe i could get book out tomo then return it immediately ..? Or something.',ham	
114,'I cant make it tonight',ham	
115,'Thanks honey. Have a great day.',ham	
116,'Hi:)did you asked to waheeda fathima about leave?',ham	
117,'Ok.',ham	
118,'Hi this is yijue... Its regarding the 3230 textbook its intro to algorithms second edition... Im selling it for $50...',ham	
119,'Hmm thinking lor...',ham	
120,'See the forwarding message for proof',ham	
121,'No..few hours before.went to hair cut .',ham	
122,'Havent stuck at orchard in my dads car. Going 4 dinner now. U leh? So r they free tonight?',ham	
123,'Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear',ham	
124,'Would really appreciate if you call me. Just need someone to talk to.',ham	
125,'K Ill head out in a few mins, see you there',ham	
126,'I wish! I dont think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We havent had snow since &lt;#&gt; before I was even born!',ham	
127,'Got it..mail panren paru..',ham	
128,'Im at home. Please call',ham	
129,'Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...',ham	
130,'Roger that. We‘re probably going to rem in about 20',ham	
131,'Im in office now . I will call you  &lt;#&gt;  min:)',ham	
132,'Customer place i will call you.',ham	
133,'Ive reached already.',ham	
134,'Appt is at &lt;TIME&gt; am. Not my fault u dont listen. I told u twice',ham	
135,'Ill text carlos and let you know, hang on',ham	
136,'Rofl betta invest in some  anti aging products',ham	
137,'Having lunch:)you are not in online?why?',ham	
138,'	UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub',spam
139,'Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear',ham	
140,'Im going 4 lunch now wif my family then aft dat i go str 2 orchard lor.',ham	
141,'Hey what are you doing. Y no reply pa..',ham	
142,'Hi , where are you? Were at  and theyre not keen to go out i kind of am but feel i shouldnt so can we go out tomo, dont mind do you?',ham	
143,'	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone',spam
144,'Don no da:)whats you plan?',ham	
145,'Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.',ham	
146,'Apart from the one i told you about yesterday?',ham	
147,'Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out',ham	
148,'Mum not going robinson already.',ham	
149,'Yep, at dereks house now, see you Sunday &lt;3',ham	
150,'Yes when is the appt again?',ham	
151,'Geeeee ... Your internet is really bad today, eh ?',ham	
152,'Thats very rude, you on campus?',ham	
153,'Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing',ham	
154,'Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.',ham	
155,'Oh god. Im gonna Google nearby cliffs now.',ham	
156,'There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..',ham	
157,'Aight, text me tonight and well see whats up',ham	
158,'"CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE "',ham	
159,'	Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA',spam
160,'Still otside le..u come 2morrow maga..',ham	
161,'Tmr timin still da same wat cos i got lesson until 6...',ham	
162,'How do you guys go to see movies on your side.',ham	
163,'No da. . Vijay going to talk in jaya tv',ham	
164,'Another month. I need chocolate weed and alcohol.',ham	
165,'Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?',ham	
166,'Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs',ham	
167,'Ok da, i already planned. I wil pick you.',ham	
168,'Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM',ham	
169,'Get me out of this dump heap. My mom decided to come to lowes. BORING.',ham	
170,'But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.',ham	
171,'Come to my home for one last time i wont do anything. Trust me.',ham	
172,'Whats the significance?',ham	
173,'Thanx 4 e brownie its v nice...',ham	
174,'Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ',ham	
175,'MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night',ham	
176,'	Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&',spam
177,'I know you mood off today',ham	
178,'Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...',ham	
179,'Whats your room number again? Wanna make sure Im knocking on the right door',ham	
180,'	Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r',spam
181,'Ah, well that confuses things, doesn‘t it?',ham	
182,'Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!',ham	
183,'Sorry I flaked last night, shits seriously goin down with my roommate, what you up to tonight?',ham	
184,'Not from this campus. Are you in the library?',ham	
185,'BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... Im so sad without you babe ... I love you ...',ham	
186,'	You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+',spam
187,'"BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX."',ham	
188,'	URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU',spam
189,'Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!',ham	
190,'Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.',ham	
191,'PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx',ham	
192,'ALRITE',ham	
193,'Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8o clock.',ham	
194,'I also thk too fast... Xy suggest one not me. U dun wan its ok. Going 2 rain leh where got gd.',ham	
195,'Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing',ham	
196,'	Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705',spam
197,'Lol you forgot it eh ? Yes, Ill bring it in babe',ham	
198,'For fear of fainting with the of all that housework you just did? Quick have a cuppa',ham	
199,'As usual..iam fine, happy &amp; doing well..:)',ham	
200,'I had it already..sabarish asked me to go..',ham	
201,'Meeting u is my work. . . Tel me when shall i do my work tomorrow',ham	
202,'Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!',ham	
203,'	HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com',spam
204,'Well good morning mr . Hows london treatin ya treacle?',ham	
205,'	Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!',spam
206,'I went to project centre',ham	
207,'Yeah no probs - last night is obviously catching up with you... Speak soon ',ham	
208,'Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.',ham	
209,'Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.',ham	
210,'Once free call me sir.',ham	
211,'We are both fine. Thanks',ham	
212,'Just got outta class gonna go gym.',ham	
213,'	CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ',spam
214,'I wont do anything de.',ham	
215,'you are sweet as well, princess. Please tell me your likes and dislikes in bed...',ham	
216,'	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged',spam
217,'somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams',ham	
218,'Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.',ham	
219,'Sorry ive not gone to that place. I.ll do so tomorrow. Really sorry.',ham	
220,'Fuck cedar key and fuck her (come over anyway tho)',ham	
221,'All sounds good. Fingers . Makes it difficult to type',ham	
222,'	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901',spam
223,'Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.',ham	
224,'Good morning princess! Have a great day!',ham	
225,'"CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX."',ham	
226,'Our Prasanth ettans mother passed away last night. Just pray for her and family.',ham	
227,'Gr8. So how do you handle the victoria island traffic. Plus whens the album due',ham	
228,'What r u cooking me for dinner?',ham	
229,'Siva is in hostel aha:-.',ham	
230,'Ive reached home finally...',ham	
231,'wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine "KUDI"yarasu dhina vaazhthukkal. ..',ham	
232,'aathi..where are you dear..',ham	
233,'I am in tirupur.  call you da.',ham	
234,'I am not having her number sir',ham	
235,'	I dont know u and u dont know me. Send CHAT to 86688 now and lets find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.',spam
236,'Hiya. How was last night? Ive been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?',ham	
237,'Nah cant help you there, Ive never had an iphone',ham	
238,'HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx',ham	
239,'* Am on a train back from northampton so im afraid not!',ham	
240,'Gud mrng dear hav a nice day',ham	
241,'I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.',ham	
242,'Oh did you charge camera',ham	
243,'We have pizza if u want',ham	
244,'Midnight at the earliest',ham	
245,'Yep. I do like the pink furniture tho.',ham	
246,'You do your studies alone without anyones help. If you cant no need to study.',ham	
247,'Nothing. Can...',ham	
248,'Thanks for ve lovely wisheds. You rock',ham	
249,'Dun need to use dial up juz open da browser n surf...',ham	
250,'	Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max ',spam
251,'Send to someone else :-)',ham	
252,'	Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx',spam
253,'I know you are. Can you pls open the back?',ham	
254,'Auntie huai juan never pick up her phone',ham	
255,'Shall i send that exe to your mail id.',ham	
256,'Did u got that persons story',ham	
257,'Cool. I am  &lt;#&gt;  inches long. hope you like them big!',ham	
258,'Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude',ham	
259,'Ok then no need to tell me anything i am going to sleep good night',ham	
260,'Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.',ham	
261,'	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL',spam
262,'Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.',ham	
263,'Are you still getting the goods.',ham	
264,'Evening * v good if somewhat event laden. Will fill you in, dont you worry … Head * ok but throat * wrecked. See you at six then!',ham	
265,'THIS IS A LONG FUCKIN SHOWR',ham	
266,'"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"',ham	
267,'Whatever, juliana. Do whatever you want.',ham	
268,'Oh, the grand is having a bit of a party but it doesnt mention any cover charge so its probably first come first served',ham	
269,'I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob',ham	
270,'Sorry,  in meeting Ill call you later',ham	
271,'Ya, told..she was asking wats matter?',ham	
272,'Mystery solved! Just opened my email and hes sent me another batch! Isnt he a sweetie',ham	
273,'Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning',ham	
274,'Ive reached home n i bathe liao... U can call me now...',ham	
275,'Nope. Meanwhile she talk say make i greet you.',ham	
276,'Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...',ham	
277,'Do you like Italian food?',ham	
278,'So wats ur opinion abt him and how abt is character?',ham	
279,'	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.',spam
280,'Goodmorning, today i am late for 1hr.',ham	
281,'Ok.ok ok..then..whats ur todays plan',ham	
282,'And I dont plan on staying the night but I prolly wont be back til late',ham	
283,'Goodmorning, Today i am late for  &lt;#&gt; min.',ham	
284,'Thats cool hell be here all night, lemme know when youre around',ham	
285,'Surely result will offer:)',ham	
286,'No..its ful of song lyrics..',ham	
287,'U still painting ur wall?',ham	
288,'Is ur changes 2 da report big? Cos ive already made changes 2 da previous report.',ham	
289,'Ard 515 like dat. Y?',ham	
290,'Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.',ham	
291,'You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.',ham	
292,'Are you this much buzy',ham	
293,'Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ',ham	
294,'Great! I shoot big loads so get ready!',ham	
295,'Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with',ham	
296,'Im not smoking while people use "wylie smokes too much" to justify ruining my shit',ham	
297,'K k:) sms chat with me.',ham	
298,'Haha, that was the first person I was gonna ask',ham	
299,'So do you have samus shoulders yet',ham	
300,'	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info',spam
301,'	URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm',spam
302,'My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)',ham	
303,'Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...',ham	
304,'Company is very good.environment is terrific and food is really nice:)',ham	
305,'Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...',ham	
306,'Why do you ask princess?',ham	
307,'Im in solihull, | do you want anything?',ham	
308,'Still chance there. If you search hard you will get it..let have a try :)',ham	
309,'Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...',ham	
310,'Pls dont forget to study',ham	
311,'Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)',ham	
312,'Ill see if I can swing by in a bit, got some things to take care of here firsg',ham	
313,'Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL',ham	
314,'How long does applebees fucking take',ham	
315,'Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...',ham	
316,'Congrats kano..whr s the treat maga?',ham	
317,'naughty little thought: its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt',ham	
318,'Please dont text me anymore. I have nothing else to say.',ham	
319,'Hasnt that been the pattern recently crap weekends?',ham	
320,'How are you. Its been ages. Hows abj',ham	
321,'Ard 4 lor...',ham	
322,'Die... Now i have e toot fringe again...',ham	
323,'Should I have picked up a receipt or something earlier',ham	
324,'	We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs',spam
325,'HAPPY NEW YEAR MY NO.1 MAN',ham	
326,'sry cant talk on phone, with parents',ham	
327,'Playin space poker, u?',ham	
328,'Just seeing your missed call my dear brother. Do have a gr8 day.',ham	
329,'Ic. There are a lotta childporn cars then.',ham	
330,'Good morning princess! How are you?',ham	
331,'Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!',ham	
332,'The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible',ham	
333,'Gods love has no limit. Gods grace has no measure. Gods power has no boundaries. May u have Gods endless blessings always in ur life...!! Gud ni8',ham	
334,'"Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?"',ham	
335,'Oh ic. I thought you meant mary jane.',ham	
336,'Dont give a monkeys wot they think and i certainly dont mind. Any friend of mine&all that! Just dont sleep wiv , that wud be annoyin!',ham	
337,'The word "Checkmate" in chess comes from the Persian phrase "Shah Maat" which means; "the king is dead.." Goodmorning.. Have a good day..:)',ham	
338,'I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm',ham	
339,'Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply',ham	
340,'	Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow',spam
341,'No i am not having not any movies in my laptop',ham	
